Neighborhood,Community,Population,Max Latitude,Max Latitude Coordinate,Min Latitude,Min Latitude Coordinate,Center Latitude,Max Longitude,Max Longitude Coordinate,Min Longitude,Min Longitude Coordinate,Center Longitude,Radius
NORTH BATON ROUGE,NORTH,13947,30.4885772631601,"(30.48857726316013, -91.1232286020085)",30.4651335535453,"(30.465133553545343, -91.15529539699084)",30.4768554083527,-91.1088526839335,"(30.471218595426368, -91.10885268393352)",-91.1577796297585,"(30.486448450199358, -91.15777962975854)",-91.133316156846,2492.5555931484
DELMONT PLACE,NORTH,4877,30.4997772317008,"(30.499777231700758, -91.15306486101402)",30.4871323899239,"(30.4871323899239, -91.1575371539214)",30.4934548108123,-91.1404488627846,"(30.48771544408625, -91.14044886278458)",-91.1699153005073,"(30.4991773123622, -91.16991530050733)",-91.155182081646,1548.83577055706
GLEN OAKS / ZION CITY,NORTH,12845,30.526348550162,"(30.52634855016201, -91.127246529707)",30.5013824968498,"(30.50138249684979, -91.12081592045139)",30.5138655235059,-91.0853486771139,"(30.504374510956353, -91.0853486771139)",-91.1497713253006,"(30.509198722432366, -91.14977132530062)",-91.1175600012073,3097.5466927084
SCOTLANDVILLE,NORTH,12548,30.544954259125,"(30.544954259124978, -91.16510950036694)",30.5082626061454,"(30.508262606145433, -91.17749445386498)",30.5266084326352,-91.1385758214443,"(30.541220568588876, -91.1385758214443)",-91.1921759068584,"(30.540052786374364, -91.1921759068584)",-91.1653758641513,2567.42737208997
BROOKSTOWN,NORTH,6750,30.5094246172404,"(30.509424617240423, -91.14593995113563)",30.4875802155706,"(30.487580215570603, -91.14046600558828)",30.4985024164055,-91.1212114168559,"(30.48843242337723, -91.12121141685591)",-91.1532411595149,"(30.49927120734088, -91.15324115951488)",-91.1372262881854,1648.54858265418
VICTORIA FARMS,NORTH,4176,30.5027930975003,"(30.50279309750034, -91.08845517130075)",30.4766755999757,"(30.476675599975746, -91.11276294570719)",30.489734348738,-91.0871497969695,"(30.502479990553862, -91.0871497969695)",-91.1311984750588,"(30.502410042689167, -91.13119847505882)",-91.1091741360142,2110.07582970523
FOREST HEIGHTS / SUNNYBROOK,NORTH,3060,30.5307460870645,"(30.53074608706448, -91.09389435571623)",30.4836239472497,"(30.48362394724969, -91.08972536954505)",30.5071850171571,-91.0402726417758,"(30.505763864947, -91.04027264177579)",-91.127246529707,"(30.52634855016201, -91.127246529707)",-91.0837595857414,4320.0924588442
THE AVENUES / SOUTHERN UNIV,NORTH,4758,30.5633291596316,"(30.563329159631614, -91.20420048713784)",30.4691963621362,"(30.46919636213622, -91.18838486491978)",30.5162627608839,-91.1684111441075,"(30.4731140433416, -91.16841114410751)",-91.2826976121135,"(30.508470193702813, -91.28269761211354)",-91.2255543781105,5817.50757704255
ISTROUMA / DIXIE,NORTH,4152,30.4883170550695,"(30.488317055069533, -91.15712350029061)",30.4698524826126,"(30.469852482612623, -91.16819083450119)",30.4790847688411,-91.156493773788,"(30.470152517853442, -91.15649377378797)",-91.1692792744675,"(30.48796031167281, -91.1692792744675)",-91.1628865241277,1155.4560707763
LEGION VILLAGE,NORTH,1624,30.5091989661071,"(30.50919896610715, -91.14982995087158)",30.4991773123622,"(30.4991773123622, -91.16991530050733)",30.5041881392347,-91.1497713253006,"(30.509198722432366, -91.14977132530062)",-91.1718975828383,"(30.508444261302753, -91.1718975828383)",-91.1608344540695,1060.67858840086
